id, restaurantId, dateTime 
1,1,2020-02-20T11:00:00.000Z
2,1,2020-02-20T11:45:00.000Z
3,1,2020-02-20T12:30:00.000Z
4,1,2020-02-20T14:00:00.000Z
5,1,2020-02-20T17:45:00.000Z
6,1,2020-02-20T18:30:00.000Z
7,1,2020-02-20T19:15:00.000Z
8,1,2020-02-20T20:00:00.000Z
9,1,2020-02-20T20:45:00.000Z
10,1,2020-02-20T21:30:00.000Z
11,1,2020-02-20T23:45:00.000Z
12,1,2020-02-21T01:15:00.000Z
13,1,2020-02-21T02:00:00.000Z
14,1,2020-02-21T02:45:00.000Z
15,1,2020-02-21T05:45:00.000Z
16,1,2020-02-21T06:30:00.000Z
17,2,2020-02-20T09:30:00.000Z
18,2,2020-02-20T11:00:00.000Z
19,2,2020-02-20T12:30:00.000Z
20,2,2020-02-20T14:45:00.000Z
21,2,2020-02-20T15:30:00.000Z
22,2,2020-02-20T17:00:00.000Z
23,2,2020-02-20T19:15:00.000Z
24,2,2020-02-20T20:00:00.000Z
25,2,2020-02-20T20:45:00.000Z
26,2,2020-02-20T23:00:00.000Z
27,2,2020-02-20T23:45:00.000Z
28,2,2020-02-21T00:30:00.000Z
29,2,2020-02-21T01:15:00.000Z
30,2,2020-02-21T02:45:00.000Z
31,2,2020-02-21T03:30:00.000Z
32,2,2020-02-21T04:15:00.000Z
33,2,2020-02-21T05:45:00.000Z
34,3,2020-02-20T08:45:00.000Z
35,3,2020-02-20T09:30:00.000Z
36,3,2020-02-20T11:45:00.000Z
37,3,2020-02-20T12:30:00.000Z
38,3,2020-02-20T14:00:00.000Z
39,3,2020-02-20T15:30:00.000Z
40,3,2020-02-20T17:00:00.000Z
41,3,2020-02-20T17:45:00.000Z
42,3,2020-02-20T19:15:00.000Z
43,3,2020-02-20T20:00:00.000Z
44,3,2020-02-20T22:15:00.000Z
45,3,2020-02-20T23:00:00.000Z
46,3,2020-02-20T23:45:00.000Z
47,3,2020-02-21T00:30:00.000Z
48,3,2020-02-21T01:15:00.000Z
49,3,2020-02-21T02:45:00.000Z
50,3,2020-02-21T03:30:00.000Z
51,3,2020-02-21T04:15:00.000Z
52,3,2020-02-21T05:45:00.000Z
53,3,2020-02-21T06:30:00.000Z
54,4,2020-02-20T09:30:00.000Z
55,4,2020-02-20T10:15:00.000Z
56,4,2020-02-20T11:00:00.000Z
57,4,2020-02-20T12:30:00.000Z
58,4,2020-02-20T13:15:00.000Z
59,4,2020-02-20T14:00:00.000Z
60,4,2020-02-20T15:30:00.000Z
61,4,2020-02-20T17:00:00.000Z
62,4,2020-02-20T17:45:00.000Z
63,4,2020-02-20T20:00:00.000Z
64,4,2020-02-20T20:45:00.000Z
65,4,2020-02-20T21:30:00.000Z
66,4,2020-02-20T23:00:00.000Z
67,4,2020-02-20T23:45:00.000Z
68,4,2020-02-21T03:30:00.000Z
69,4,2020-02-21T05:00:00.000Z
70,5,2020-02-20T08:45:00.000Z
71,5,2020-02-20T11:00:00.000Z
72,5,2020-02-20T11:45:00.000Z
73,5,2020-02-20T13:15:00.000Z
74,5,2020-02-20T14:00:00.000Z
75,5,2020-02-20T14:45:00.000Z
76,5,2020-02-20T16:15:00.000Z
77,5,2020-02-20T17:00:00.000Z
78,5,2020-02-20T17:45:00.000Z
79,5,2020-02-20T19:15:00.000Z
80,5,2020-02-20T20:45:00.000Z
81,5,2020-02-21T01:15:00.000Z
82,5,2020-02-21T03:30:00.000Z
83,5,2020-02-21T05:00:00.000Z
84,5,2020-02-21T05:45:00.000Z
85,5,2020-02-21T06:30:00.000Z
86,6,2020-02-20T08:45:00.000Z
87,6,2020-02-20T10:15:00.000Z
88,6,2020-02-20T11:00:00.000Z
89,6,2020-02-20T11:45:00.000Z
90,6,2020-02-20T14:45:00.000Z
91,6,2020-02-20T17:45:00.000Z
92,6,2020-02-20T19:15:00.000Z
93,6,2020-02-20T20:00:00.000Z
94,6,2020-02-21T00:30:00.000Z
95,6,2020-02-21T02:00:00.000Z
96,6,2020-02-21T06:30:00.000Z
97,7,2020-02-20T08:45:00.000Z
98,7,2020-02-20T09:30:00.000Z
99,7,2020-02-20T10:15:00.000Z
100,7,2020-02-20T11:45:00.000Z
101,7,2020-02-20T12:30:00.000Z
102,7,2020-02-20T13:15:00.000Z
103,7,2020-02-20T14:00:00.000Z
104,7,2020-02-20T14:45:00.000Z
105,7,2020-02-20T16:15:00.000Z
106,7,2020-02-20T19:15:00.000Z
107,7,2020-02-20T23:00:00.000Z
108,7,2020-02-20T23:45:00.000Z
109,7,2020-02-21T01:15:00.000Z
110,7,2020-02-21T03:30:00.000Z
111,7,2020-02-21T05:00:00.000Z
112,7,2020-02-21T06:30:00.000Z
113,8,2020-02-20T08:45:00.000Z
114,8,2020-02-20T11:00:00.000Z
115,8,2020-02-20T11:45:00.000Z
116,8,2020-02-20T12:30:00.000Z
117,8,2020-02-20T13:15:00.000Z
118,8,2020-02-20T14:00:00.000Z
119,8,2020-02-20T15:30:00.000Z
120,8,2020-02-20T17:00:00.000Z
121,8,2020-02-20T17:45:00.000Z
122,8,2020-02-20T18:30:00.000Z
123,8,2020-02-20T19:15:00.000Z
124,8,2020-02-20T20:45:00.000Z
125,8,2020-02-20T21:30:00.000Z
126,8,2020-02-20T22:15:00.000Z
127,8,2020-02-20T23:45:00.000Z
128,8,2020-02-21T01:15:00.000Z
129,8,2020-02-21T02:00:00.000Z
130,8,2020-02-21T02:45:00.000Z
131,8,2020-02-21T03:30:00.000Z
132,8,2020-02-21T04:15:00.000Z
133,8,2020-02-21T05:00:00.000Z
134,9,2020-02-20T11:45:00.000Z
135,9,2020-02-20T13:15:00.000Z
136,9,2020-02-20T14:00:00.000Z
137,9,2020-02-20T17:00:00.000Z
138,9,2020-02-20T19:15:00.000Z
139,9,2020-02-20T20:00:00.000Z
140,9,2020-02-20T20:45:00.000Z
141,9,2020-02-20T22:15:00.000Z
142,9,2020-02-20T23:00:00.000Z
143,9,2020-02-20T23:45:00.000Z
144,9,2020-02-21T00:30:00.000Z
145,9,2020-02-21T02:00:00.000Z
146,9,2020-02-21T02:45:00.000Z
147,9,2020-02-21T03:30:00.000Z
148,10,2020-02-20T08:45:00.000Z
149,10,2020-02-20T10:15:00.000Z
150,10,2020-02-20T12:30:00.000Z
151,10,2020-02-20T14:00:00.000Z
152,10,2020-02-20T14:45:00.000Z
153,10,2020-02-20T15:30:00.000Z
154,10,2020-02-20T16:15:00.000Z
155,10,2020-02-20T17:45:00.000Z
156,10,2020-02-20T18:30:00.000Z
157,10,2020-02-20T20:00:00.000Z
158,10,2020-02-20T22:15:00.000Z
159,10,2020-02-20T23:00:00.000Z
160,10,2020-02-21T02:00:00.000Z
161,10,2020-02-21T04:15:00.000Z
162,11,2020-02-20T08:45:00.000Z
163,11,2020-02-20T09:30:00.000Z
164,11,2020-02-20T10:15:00.000Z
165,11,2020-02-20T11:00:00.000Z
166,11,2020-02-20T14:00:00.000Z
167,11,2020-02-20T14:45:00.000Z
168,11,2020-02-20T16:15:00.000Z
169,11,2020-02-20T17:00:00.000Z
170,11,2020-02-20T17:45:00.000Z
171,11,2020-02-20T18:30:00.000Z
172,11,2020-02-20T19:15:00.000Z
173,11,2020-02-20T20:00:00.000Z
